Total Connections: 21 | Active: 1 | Idle: 20 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 12 | Idle: 9 
Total Connections: 21 | Active: 12 | Idle: 9 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 12 | Idle: 9 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 10 | Idle: 11 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 12 | Idle: 9 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 10 | Idle: 11 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 10 | Idle: 11 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 9 | Idle: 12 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 15 | Idle: 6 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 14 | Idle: 7 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 13 | Idle: 8 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 17 | Idle: 4 
Total Connections: 21 | Active: 7 | Idle: 14 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 7 | Idle: 14 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 20 | Idle: 1 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 16 | Idle: 5 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 11 | Idle: 10 
Total Connections: 21 | Active: 18 | Idle: 3 
Total Connections: 21 | Active: 19 | Idle: 2 
